reviews,stars,date,country,status,corpus
"✅ Trip Verified |   I flew a return trip DXB-LIS-DXB I used my miles to upgrade to business class on the outbound journey which was a very nice experience a morning flight with flat bed seat lovely crew and amazing service . On the return they surprised me on boarding with an upgrade to business class. Even though it was the middle seat, it didn’t bother me. They provided bulgari amenities kit and mattress and cover. After a delicious meal I had a 5 hrs sleep as it was an over night flight.",5,2024-08-12,United Arab Emirates,True,flew return trip dxb li dxb used mile upgrade business class outbound journey nice experience morning flight flat bed seat lovely crew amazing service return surprised boarding upgrade business class even though middle seat bother provided bulgari amenity kit mattress cover delicious meal hr sleep night flight
"✅ Trip Verified |   We were 2 people travelling together and on the Dubai-Boston sector, the armrests on the seats allotted just wouldn’t stay up. We highlighted it to the crew before takeoff and they sent a technician to check. The technician came, saw it from a distance and went back saying he’ll send someone else. The flight took off, no one came. Highlighted to the crew again - they said, “Our technician came but you refused to get up from your seat and let him check. And we can’t help you now”.  It was a 14 hour horrendous experience and deficiency in service, coupled with a lie and blaming it on us. It was physically painful with the armrest pushing on the shoulder for 14 hours and a mental agony at such service and behaviour by the crew.",10,2024-08-11,India,True,people travelling together dubai boston sector armrest seat allotted stay highlighted crew takeoff sent technician check technician came saw distance went back saying send someone else flight took one came highlighted crew said technician came refused get seat let check help hour horrendous experience deficiency service coupled lie blaming u physically painful armrest pushing shoulder hour mental agony service behaviour crew
"Not Verified |   First time flying Emirates, was expecting a lot because this airline has a good name. Unfortunately the facts are different. Attendants on 3 of the 4 legs a have flown with them look as they are very tired. Making eye contact, heads are turned away, being in the aisle for a short moment, I was literally pushed aside by a staff member walking up and down the aisle. Meal time was too short, 1 time I got my breakfast 30 minutes before landing, 5 minutes later they tried to collect my meal again. The meals itself were overall good and the food was enjoyable. Ground services in Amsterdam and Dubai were accurate and friendly. Overall I booked my next vacation in December and avoided this airline. The feeling I got from Emirates was that I am not welcome and passengers are a burden.",4,2024-07-29,Netherlands,False,verified first time flying emirate expecting lot airline good name unfortunately fact different attendant leg flown look tired making eye contact head turned away aisle short moment literally pushed aside staff member walking aisle meal time short time got breakfast minute landing minute later tried collect meal meal overall good food enjoyable ground service amsterdam dubai accurate friendly overall booked next vacation december avoided airline feeling got emirate welcome passenger burden
"✅ Trip Verified |  Ground Staff and Service Failures on Flight EK 354. My carefully planned return trip from UK, with EMIRATES turned into a nightmare due to issues caused by their Dubai ground staff.  Upon checking in Manchester, I was issued a boarding pass for the MAN-DXB and DXB-SIN legs of my journey, with seats allocated according to my pre booking. However, upon reaching Dubai and during check-in, the counter staff took my boarding pass and issued a new one. Initially, I presumed new boarding pass was due to a soiled document and did not notice the seat change as there is no change in flight. To my disappointment, the new seat I was assigned turned out to be directly in front of the toilet onboard. I also sought assistance from cabin crew and online chat services before take-off, but unfortunately, no one helped me. I had specifically opted for an Economy Flex Plus ticket, solely to secure a seat reservation that would allow for a more comfortable journey. The proximity to the restroom doors, with their associated noise, significantly hindered my ability to rest or enjoy the flight services as intended. Furthermore, crew members accessing the overhead luggage bins above my seat at regular intervals further disrupted any chance of relaxation. Additionally, during the meal service, crew members did not lock the lavatory door, causing passengers to enter and exit while I was eating. This forced me to stop my meal. At the end of the journey, the crew sarcastically asked me about my flight experience, despite being well aware of the difficulties I had faced. Emirates' service in 2024 should be considered among the worst. Until today I have not received any reply on my compliant placed with Emirates and their customer service reminded me that it requires 60 days to send a reply. I must tell that compare to past, Emirates service quality are highly deteriorated and no one care of it there.",5,2024-07-18,Singapore,True,ground staff service failure flight ek carefully planned return trip uk emirate turned nightmare due issue caused dubai ground staff upon checking manchester issued boarding pas man dxb dxb sin leg journey seat allocated according pre booking however upon reaching dubai check counter staff took boarding pas issued new one initially presumed new boarding pas due soiled document notice seat change change flight disappointment new seat assigned turned directly front toilet onboard also sought assistance cabin crew online chat service take unfortunately one helped specifically opted economy flex plus ticket solely secure seat reservation would allow comfortable journey proximity restroom door associated noise significantly hindered ability rest enjoy flight service intended furthermore crew member accessing overhead luggage bin seat regular interval disrupted chance relaxation additionally meal service crew member lock lavatory door causing passenger enter exit eating forced stop meal end journey crew sarcastically asked flight experience despite well aware difficulty faced emirate service considered among worst today received reply compliant placed emirate customer service reminded requires day send reply must tell compare past emirate service quality highly deteriorated one care
"Not Verified |  The staff are friendly and the seat is comfortable. The air ticket is cheap. There's TV and wifi, there are also a gift for kids too. The services are very great. There are many delicious foods to eat too.",1,2024-07-13,Hong Kong,False,verified staff friendly seat comfortable air ticket cheap tv wifi also gift kid service great many delicious food eat
Not Verified |   I had a flight in April from Mumbai to Dubai to London. Due to the rains / flood in Dubai flights were getting canceled but Emirates never bothered to inform the passengers. I had to spend 6k (back and forth) on Uber coming from Pune to Mumbai to catch the flight. After I got to the gate they told me the flight was canceled. I was so furious. I asked them why I never got any text or email update and they blamed it on the passengers. So I asked her to verify my phone number. When I got to the airport I checked on the app about the flight details and till that time it showed on time. They never even bothered to change that. Now that I am asking for my refund they are not taking responsibility and returning my money.,10,2024-07-12,India,False,verified flight april mumbai dubai london due rain flood dubai flight getting canceled emirate never bothered inform passenger spend k back forth uber coming pune mumbai catch flight got gate told flight canceled furious asked never got text email update blamed passenger asked verify phone number got airport checked app flight detail till time showed time never even bothered change asking refund taking responsibility returning money
"✅ Trip Verified |  It was my first time flying premium economy on Emirates, and I'd happily do it again. The seats were wide, with plenty of legroom, and the food was quite good. Service was also fine. Shame they serve Prosecco and there is very limited choice on wines, but let's skip right past that. Obviously, I'd much rather fly business or first on Emirates, but this was better than the old business class on BA and worth paying to avoid economy.",2,2024-07-08,United Kingdom,True,first time flying premium economy emirate happily seat wide plenty legroom food quite good service also fine shame serve prosecco limited choice wine let skip right past obviously much rather fly business first emirate better old business class ba worth paying avoid economy
"✅ Trip Verified |  The services on the mentioned sector was pathetic. Dirty Toilets, tissue all around the floor. The meal asked for at the time of booking and paying at least 25% more than other airlines, was not provided. A simple service for lukewarm water was not provided. In flight movies were nothing new or trendy. Overall a very poor performance.",8,2024-07-05,India,True,service mentioned sector pathetic dirty toilet tissue around floor meal asked time booking paying least airline provided simple service lukewarm water provided flight movie nothing new trendy overall poor performance
"✅ Trip Verified |  I have always been flying in Emirates because of their good services but this time we had a very bad experience! The cabin crews were terrible to say the least especially from Dhaka to Dubai. We asked for a Bassinet for the baby a few times but didn't get one. The baby fell asleep and I was holding for about half an hour watering a bassinet still did not get one then I had to speak to one of the cabin crews with a firm tone to get one! They didn't even offer lunch to one of my daughters. When asked, the lady said oh do you want lunch? What do you mean? She is 11 years old and needs food to eat on board, doesn't she? They also didn't give us any baby food either. My boy was hungry and crying. The lady next to me with infants had to share one of her babies food with my boy. When I fed that food to my son, one cabin crew came with some baby food which we didn't ask for saying we ran out of what you asked for. Just terrible! We also noticed in general the cabin crews were unprofessional, careless and ignoring the passengers' requests. It was a terrible experience this time. Hope Emirates read these reviews and take serious actions to improve their services.",2,2024-07-04,United Kingdom,True,always flying emirate good service time bad experience cabin crew terrible say least especially dhaka dubai asked bassinet baby time get one baby fell asleep holding half hour watering bassinet still get one speak one cabin crew firm tone get one even offer lunch one daughter asked lady said oh want lunch mean year old need food eat board also give u baby food either boy hungry cry lady next infant share one baby food boy fed food son one cabin crew came baby food ask saying ran asked terrible also noticed general cabin crew unprofessional careless ignoring passenger request terrible experience time hope emirate read review take serious action improve service
"Not Verified |   I am writing this review to express my profound disappointment and frustration with the service provided by various departments, particularly customer support, following the cancellation of my flight from Vienna to Male last April due to the recent floods in Dubai. While I understand the circumstances surrounding the flight cancellation, the issue lies with the abysmal customer support I have encountered since then. Upon requesting a certificate for insurance purposes, I was informed that I would need to wait 30 days for processing, which I accepted as part of the procedures. However, upon receiving the certificate after the specified period, it was found to be incorrect for both myself and my travel companion. Subsequent attempts to rectify this error have been met with further delays and inefficiencies. Despite being advised to fill out another form for follow-up, it has now been two months since my initial request, and I am still awaiting the correct certificates. The lack of assistance and communication from customer support has been appalling, with promises to escalate the issue to the relevant department unfulfilled and no resolution in sight. As a loyal customer of Emirates, I am deeply dismayed by the subpar level of customer support and service provided in this instance. The unresolved issue with the certificates has also led to a delay in processing my insurance claim, further exacerbating the situation. It is truly disheartening to experience such incompetence and negligence. The disparity between the exceptional flight services and the inadequate customer support is not only disappointing but also unacceptable.",3,2024-06-27,Cyprus,False,verified writing review express profound disappointment frustration service provided various department particularly customer support following cancellation flight vienna male last april due recent flood dubai understand circumstance surrounding flight cancellation issue lie abysmal customer support encountered since upon requesting certificate insurance purpose informed would need wait day processing accepted part procedure however upon receiving certificate specified period found incorrect travel companion subsequent attempt rectify error met delay inefficiency despite advised fill another form follow two month since initial request still awaiting correct certificate lack assistance communication customer support appalling promise escalate issue relevant department unfulfilled resolution sight loyal customer emirate deeply dismayed subpar level customer support service provided instance unresolved issue certificate also led delay processing insurance claim exacerbating situation truly disheartening experience incompetence negligence disparity exceptional flight service inadequate customer support disappointing also unacceptable
